BiblioID,Title,Author,Material,Pub,Desc,Subj,DDC,Type,Lib,Shelf,CallNo,Copy,Status,Barcode
216495,ENGINEERING DRAWING,By: BHATT N.D,Text,NONE CHAROTAR PUBLISHING HOUSE PRIVATE LIMITED 1984,600,Library catalog Title Author ISBN ISSN Series Call number,621.7744 BHA,Stack,"Vellore Institute of Technology, Vellore",N/A,621.7:744 BHA (Browse shelf(Opens below)),INR,Checked out to Ganesh 2cqr (CQR07),1
216496,ENGINEERING DRAWING,By: BHATT N.D,Text,NONE CHAROTAR PUBLISHING HOUSE PRIVATE LIMITED 1984,600,Library catalog Title Author ISBN ISSN Series Call number,621.7744 BHA,N/A,N/A,N/A,N/A,N/A,N/A,N/A
216497,ENGINEERING DRAWING,By: BHATT N.D,Text,NONE CHAROTAR PUBLISHING HOUSE PRIVATE LIMITED 1984,600,Library catalog Title Author ISBN ISSN Series Call number,621.7744 BHA,N/A,N/A,N/A,N/A,N/A,N/A,N/A
216498,ENGINEERING DRAWING,By: BHATT N.D,Text,NONE CHAROTAR PUBLISHING HOUSE PRIVATE LIMITED 1984,600,Library catalog Title Author ISBN ISSN Series Call number,621.7744 BHA,Stack,"Vellore Institute of Technology, Vellore",IIF-R16-C9-F,621.7:744 BHA (Browse shelf(Opens below)),INR,Available,4
216499,ENGINEERING DRAWING,By: BHATT N.D,Text,NONE CHAROTAR PUBLISHING HOUSE PRIVATE LIMITED 1984,600,Library catalog Title Author ISBN ISSN Series Call number,621.7744 BHA,N/A,N/A,N/A,N/A,N/A,N/A,N/A
216500,ENGINEERING DRAWING,By: BHATT N.D,Text,NONE CHAROTAR PUBLISHING HOUSE PRIVATE LIMITED 1984,600,Library catalog Title Author ISBN ISSN Series Call number,621.7744 BHA,N/A,N/A,N/A,N/A,N/A,N/A,N/A
216501,ENGINEERING DRAWING,By: BHATT N.D,Text,NONE CHAROTAR PUBLISHING HOUSE PRIVATE LIMITED 1984,600,Library catalog Title Author ISBN ISSN Series Call number,621.7744 BHA,N/A,N/A,N/A,N/A,N/A,N/A,N/A
216502,A FIRST YEAR ENGINEERING DRAWING,By: PARKINSON A.C,Text,NEWDELHI WHEELER 1982,236,Library catalog Title Author ISBN ISSN Series Call number,621.7744 PAR,N/A,N/A,N/A,N/A,N/A,N/A,N/A
216503,A FIRST YEAR ENGINEERING DRAWING,By: PARKINSON A.C,Text,NEWDELHI WHEELER 1982,236,Library catalog Title Author ISBN ISSN Series Call number,621.7744 PAR,N/A,N/A,N/A,N/A,N/A,N/A,N/A
216505,A FIRST YEAR ENGINEERING DRAWING,By: PARKINSON A.C,Text,NEWDELHI WHEELER 1982,236,Library catalog Title Author ISBN ISSN Series Call number,621.7744 PAR,N/A,N/A,N/A,N/A,N/A,N/A,N/A
