BiblioID,Title,Author,Material,Pub,Desc,Subj,DDC,Type,Lib,Shelf,CallNo,Copy,Status,Barcode
412001,PREVIOUS PAPERS FOR BANK PO WITH DETAILED SOLUTIONS,By: xxx,Text,"NEW DELHI, BSC PUBLISHING COMPANY",163p. p,Library catalog Title Author ISBN ISSN Series Call number,332.1 PRE,Stack,"Vellore Institute of Technology, Vellore",IIIF-R7-C4-C,332.1 PRE (Browse shelf(Opens below)),INR,Available,184480
412003,PREVIOUS PAPERS FOR BANK PO WITH DETAILED SOLUTIONS,By: xxx,Text,"NEW DELHI, BSC PUBLISHING COMPANY",163p. p,Library catalog Title Author ISBN ISSN Series Call number,332.1 PRE,Stack,"Vellore Institute of Technology, Vellore",IIIF-R7-C4-D,332.1 PRE (Browse shelf(Opens below)),INR,Available,184481
412005,ENSEMBLE GEOGRAPHY THROUGH MAPS,By: SIDDHARTHA K,Text,"NEW DELHI, KISALAYA PUBLICATIONS 2010",249p. p,Library catalog Title Author ISBN ISSN Series Call number,912.43 ENS,Stack,"Vellore Institute of Technology, Vellore",IIF-R77-C2-A,912.43 ENS (Browse shelf(Opens below)),INR,Available,184482
412007,ENSEMBLE GEOGRAPHY THROUGH MAPS,By: SIDDHARTHA K,Text,"NEW DELHI, KISALAYA PUBLICATIONS 2010",249p. p,Library catalog Title Author ISBN ISSN Series Call number,912.43 ENS,Stack,"Vellore Institute of Technology, Vellore",IIF-R77-C2-A,912.43 ENS (Browse shelf(Opens below)),INR,Available,184483
412009,COURSE IN MENTAL ABILITY AND QUANTITATIVE APTITUDE: FOR COMPETITIVE EXAMINATIONS,By: THORPE EDGAR,Text,"NEW DELHI, TATA MCGRAW HILL PRIVATE LIMITED 2000","""X, 435p. p.""",Library catalog Title Author ISBN ISSN Series Call number,510(079.1) THO,Reference,"Vellore Institute of Technology, Vellore",IF-R68-C1-A,510(079.1) THO (Browse shelf(Opens below)),INR,Not for loan,184484
412011,COURSE IN MENTAL ABILITY AND QUANTITATIVE APTITUDE: FOR COMPETITIVE EXAMINATIONS,By: THORPE EDGAR,Text,"NEW DELHI, TATA MCGRAW HILL PRIVATE LIMITED 2000","""X, 435p. p.""",Library catalog Title Author ISBN ISSN Series Call number,N/A,Reference,"Vellore Institute of Technology, Vellore",IF-R68-C1-A,510(079.1) THO (Browse shelf(Opens below)),INR,Not for loan,184485
412015,"UPSC, IAS CIVIL SERVICE (MAIN) EXAMINATION PUBLIC ADMINISTRATION PAPER -I",By: SRIKANT BHAGAT,Text,"MEERUT, ARIHANT PUBLICATIONS",216p. p,Library catalog Title Author ISBN ISSN Series Call number,35(079.1) SRI,Stack,"Vellore Institute of Technology, Vellore",IIIF-R9-C14-E,35(079.1) SRI (Browse shelf(Opens below)),INR,Available,184487
412017,BUSINESS ECONOMICS,By: HARI GOPAL DAS,Text,"ALLAHABAD, SHARDAPUSTAK BHAVAN PUBLISHERS 2010",445p. p,Library catalog Title Author ISBN ISSN Series Call number,658330 HAR,Stack,"Vellore Institute of Technology, Vellore",IIIF-R25-C17-C,658:330 HAR (Browse shelf(Opens below)),INR,Available,184488
412019,HUMAN RESOURCE MANAGEMENT,By: AJAIR KUMAR SINGAL,Text,"ALLAHABAD, SHARDA PUSTAK BHAVAN PUBLISHERS 2009",277p. p,Library catalog Title Author ISBN ISSN Series Call number,658.3 AJA,Stack,"Vellore Institute of Technology, Vellore",IIIF-R26-C12-F,658.3 AJA (Browse shelf(Opens below)),INR,Available,184489
412021,PRINCIPLES AND PRACTICE OF INSURANCE,By: MOTIHAR M,Text,"ALLAHABAD, SHARDA PUSTAK BHAWAN PUBLISHERS 2010",775p. p,Library catalog Title Author ISBN ISSN Series Call number,368.01 MOT,Stack,"Vellore Institute of Technology, Vellore",IIIF-R9-C13-A,368.01 MOT (Browse shelf(Opens below)),INR,Available,184490
412023,"ORGANIZATION THEORY: STRUCTURE, DESIGN, AND APPLICATIONS",By: ROBBINS STEPHEN P,Text,"CHENNAI, PEARSON EDUCATION ASIA 2009","""XVIII, 380p. p.""",Library catalog Title Author ISBN ISSN Series Call number,65.01 ROS,Stack,"Vellore Institute of Technology, Vellore",IIIF-R23-C16-D,65.01 ROS (Browse shelf(Opens below)),INR,Available,184491
412025,"ORGANIZATION THEORY: STRUCTURE, DESIGN, AND APPLICATIONS",By: ROBBINS STEPHEN P,Text,"CHENNAI, PEARSON EDUCATION ASIA 2009","""XVIII, 380p. p.""",Library catalog Title Author ISBN ISSN Series Call number,65.01 ROS,Stack,"Vellore Institute of Technology, Vellore",IIIF-R23-C16-C,65.01 ROS (Browse shelf(Opens below)),INR,Available,184492
412027,"UPSC, IAS CIVIL SERVICE EXAMINATION INDIAN POLITY AND CONSTITUTIONAL ISSUES",By: KUMUD RANJAN SINGH,Text,"MEERUT, ARIHANT PUBLICATIONS","""374, 3p. p.""",Library catalog Title Author ISBN ISSN Series Call number,342(079.1) KUM,Stack,"Vellore Institute of Technology, Vellore",IIIF-R9-C3-F,342(079.1) KUM (Browse shelf(Opens below)),INR,Available,184493
412029,"UPSC, IAS CIVIL SERVICE EXAMINATION INDIAN POLITY AND CONSTITUTIONAL ISSUES",By: KUMUD RANJAN SINGH,Text,"MEERUT, ARIHANT PUBLICATIONS","""374, 3p. p.""",Library catalog Title Author ISBN ISSN Series Call number,342(079.1) KUM,Stack,"Vellore Institute of Technology, Vellore",IIIF-R9-C3-F,342(079.1) KUM (Browse shelf(Opens below)),INR,Available,184494
412031,BRIGHTS AIEEE: PHYSICS,By: xxx,Text,"NEW DELHI, BRIGHT PUBLICATION","""XV, 372p. p.""",Library catalog Title Author ISBN ISSN Series Call number,530(079.1) AIE,Reference,"Vellore Institute of Technology, Vellore",IF-R73-C2-D,530(079.1) AIE (Browse shelf(Opens below)),INR,Not for loan,184495
412033,ALL INDIA ENGINEERING ENTRANCE EXAME AIEEE PHYSICS,By: xxx,Text,"MEERUT, ARIHANT PUBLISHERS 2009",236p. p,Library catalog Title Author ISBN ISSN Series Call number,530(079.1) ALL,Reference,"Vellore Institute of Technology, Vellore",IF-R73-C2-D,530(079.1) ALL (Browse shelf(Opens below)),INR,Not for loan,184496
412035,ALL INDIA ENGINEERING ENTRANCE EXAM AIEEE CHEMISTRY,By: xxx,Text,"MEERUT, ARIHANT PUBLISHERS 2009",192p. p,Library catalog Title Author ISBN ISSN Series Call number,540(079.1) ALL,Reference,"Vellore Institute of Technology, Vellore",IF-R75-C1-A,540(079.1) ALL (Browse shelf(Opens below)),INR,Not for loan,184497
